site_code,State
CS220,Northeast
CS221,Northeast
CS23,Northeast
CS230,Northeast
CS231,Northeast
CS232,Northeast
CS233,Northeast
CS234,Northeast
CS24,Northeast
CS25,Northeast
CS3,Northeast
CS31,Northeast
CS32,Northeast
CS33,Northeast
CS34,Northeast
CS35,Northeast
CS36,Northeast
CS38,Northeast
CS39,Northeast
CS4,Northeast
CS41,Northeast
CS42,Northeast
CS44,Northeast
CS45,Northeast
CS46,Northeast
CS47,Northeast
CS48,Northeast
CS5,Northeast
CS50,Northeast
CS51,Northeast
CS52,Northeast
CS54,Northeast
CS55,Northeast
CS56,Northeast
CS57,Northeast
CS58,Northeast
CS59,Northeast
CS6,Northeast
CS60,Northeast
CS61,Northeast
CS63,Northeast
CS64,Northeast
CS65,Northeast
CS7,Northeast
CS71,Northeast
CS72,Northeast
CS73,Northeast
CS74,Northeast
CS8,Northeast
CS9,Northeast
CS92,Northeast
CS94,Northeast
CS95,Northeast
CS96,Northeast
DAVIES REEF-1,Northeast
DAVIES REEF-2,Northeast
DAVIES REEF-3,Northeast
DIP REEF-1,Northeast
DIP REEF-2,Northeast
DIP REEF-3,Northeast
EAST CAY REEF-1,Northeast
EAST CAY REEF-2,Northeast
EAST CAY REEF-3,Northeast
EMR1,Southeast
EMR10,Southeast
EMR11,Southeast
EMR12,Southeast
EMR13,Southeast
EMR14,Southeast
EMR15,Southeast
EMR16,Southeast
EMR17,Southeast
EMR18,Southeast
EMR19,Southeast
EMR2,Southeast
EMR20,Southeast
EMR21,Southeast
EMR22,Southeast
EMR23,Southeast
EMR24,Southeast
EMR25,Southeast
EMR26,Southeast
EMR27,Southeast
EMR28,Southeast
EMR29,Southeast
EMR3,Southeast
EMR30,Southeast
EMR31,Southeast
EMR32,Southeast
EMR33,Southeast
EMR4,Southeast
EMR5,Southeast
EMR6,Southeast
EMR7,Southeast
EMR8,Southeast
EMR9,Southeast
ERSKINE REEF-1,Northeast
ERSKINE REEF-2,Northeast
ERSKINE REEF-3,Northeast
EYR24,South
EYR26,South
EYR27,South
EYR28,South
EYR29,South
EYR30,South
EYR31,South
EYR32,South
FAIRFAX ISLANDS REEF-1,Northeast
FAIRFAX ISLANDS REEF-2,Northeast
FAIRFAX ISLANDS REEF-3,Northeast
FARQUHARSON REEF (NO 1)-1,Northeast
FARQUHARSON REEF (NO 1)-2,Northeast
FARQUHARSON REEF (NO 1)-3,Northeast
FEATHER REEF-1,Northeast
FEATHER REEF-2,Northeast
FEATHER REEF-3,Northeast
FITZROY ISLAND REEF-1,Northeast
FITZROY ISLAND REEF-2,Northeast
FITZROY ISLAND REEF-3,Northeast
FORE AND AFT REEF-1,Northeast
FORE AND AFT REEF-2,Northeast
FORE AND AFT REEF-3,Northeast
FORK REEF-1,Northeast
FORK REEF-2,Northeast
FORK REEF-3,Northeast
GANNETT CAY REEF-1,Northeast
GANNETT CAY REEF-2,Northeast
GANNETT CAY REEF-3,Northeast
GBR108,Northeast
GBR109,Northeast
GBR110,Northeast
GBR118,Northeast
GBR119,Northeast
GBR120,Northeast
GBR121,Northeast
GBR122,Northeast
GBR123,Northeast
GBR131,Northeast
GBR132,Northeast
GBR134,Northeast
GBR139,Northeast
GBR142,Northeast
GBR143,Northeast
GBR144,Northeast
GBR145,Northeast
GBR146,Northeast
GBR148,Northeast
GBR149,Northeast
GBR151,Northeast
GBR152,Northeast
GBR16,Northeast
GBR160,Northeast
GBR161,Northeast
GBR162,Northeast
GBR17,Northeast
GBR18,Northeast
GBR182,Northeast
GBR186,Northeast
GBR187,Northeast
GBR19,Northeast
GBR2,Northeast
GBR20,Northeast
GBR204,Northeast
GBR205,Northeast
GBR206,Northeast
GBR207,Northeast
GBR208,Northeast
GBR209,Northeast
GBR21,Northeast
GBR210,Northeast
GBR211,Northeast
GBR212,Northeast
GBR213,Northeast
GBR217,Northeast
GBR218,Northeast
GBR219,Northeast
GBR22,Northeast
GBR220,Northeast
GBR221,Northeast
GBR223,Northeast
GBR224,Northeast
GBR225,Northeast
GBR226,Northeast
GBR227,Northeast
GBR228,Northeast
GBR229,Northeast
GBR23,Northeast
GBR231,Northeast
