SPECIES_NAME,Family,Class,Taxon,Diet,Diet2,Slope,N,Spearman,Sig,Direction,Change,Max depth,Max depth,Max Length,Max Length,Max Length,Commercially exploited,N site,Lat Span degrees,endemism,Mobility,SiteLat,SiteLong,T Mean,T Mean,Biogeog,Chl mean,Count of 1450 sites,"Province 142 TI 147 prom 118 albany, temp <16 >21 oC chlorophyll >0.6",Biogeog2
Stethojulis interrupta,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.089470899,571,0.230769231,,,2.306442672,21,3.044522438,13,2.564949357,3,n,4.276533152,27,non-endemic,demersal,-28.34374734,144.7053807,23.96559024,24,tropical,0.855950811,214,N,tropical
Stegastes gascoynei,Pomacentridae,Actinopterygii,Vertebrate,Algal farmer,Herbivore,-0.009754784,567,0.56043956,*,up,0.893517599,30,3.401197382,15,2.708050201,3,n,58.1763893,14,non-endemic,demersal,-28.93329138,156.6457436,22.96551364,23,temperate,0.429027029,138,SE,warm
Pempheris klunzingeri,Pempherididae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.067648187,566,-0.56043956,*,down,0.5482219,20,2.995732274,21,3.044522438,3,n,44.53776208,11,endemic,demersal,-33.33573051,125.6281123,18.94693346,19,temperate,1.094966659,156,SW,warm
Acanthurus olivaceus,Acanthuridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.033421168,556,-0.06043956,,,0.705022616,46,3.828641396,35,3.555348061,4,n,3.23289045,26,non-endemic,demersal,-20.78234102,145.8177851,25.46987761,25.4,tropical,0.578204081,235,IWP,tropical
Acanthopagrus australis,Sparidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.054085991,552,-0.417582418,,,1.997280445,30,3.401197382,66,4.189654742,4,y,18.10712285,15,endemic,demersal,-33.64035099,151.375202,20.30919066,20.4,temperate,1.323142828,152,SE,warm
Apogon limenus,Apogonidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.0217887,549,0.291208791,,,1.432402006,30,3.401197382,14,2.63905733,3,n,44.78742816,22,endemic,demersal,-33.10901095,151.4529208,20.95323817,21,temperate,0.885714273,116,SE,warm
Caulerpa brownii,Caulerpaceae,Green algae,Macroalgae,primary producer,,0.00493673,550,0.153846154,,,1.085563492,42,3.737669618,40,3.688879454,4,n,12.57553482,14,non-endemic,benthic,-39.4130048,142.0949272,15.96650004,16,temperate,1.123517242,173,S,cool
Aracana aurita,Ostraciidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.05037066,548,-0.714285714,**,down,0.592610818,200,5.298317367,25,3.218875825,3,n,0.456579955,14,endemic,demersal,-40.19836665,143.283966,16.0930547,16,temperate,1.11396364,170,S,cool
Coris gaimard,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.020991618,543,0.153846154,,,1.236560952,50,3.912023005,40,3.688879454,4,n,0.834919899,20,non-endemic,demersal,-18.20974601,145.351964,26.47932189,26.4,tropical,0.482632187,223,IWP,tropical
Callophyllis lambertii,Kallymeniaceae,Red algae,Macroalgae,primary producer,,-0.00631667,541,-0.06043956,,,0.943399505,35,3.555348061,40,3.688879454,4,n,5.545907343,9,endemic,benthic,-41.53099938,146.3773813,14.95736119,15,temperate,0.987222229,128,S,cool
Schuettea scalaripinnis,Monodactylidae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.036366103,540,-0.368131868,,,0.670387012,30,3.401197382,20,2.995732274,3,n,163.6709218,6,endemic,demersal,-33.83736788,151.3944711,20.2786114,20.2,temperate,1.364722191,132,SE,warm
Peyssonnelia novaehollandiae,Peyssonneliaceae,Red algae,Macroalgae,primary producer,,0.05195958,539,0.549450549,,,1.745840155,48,3.871201011,20,2.995732274,3,n,5.97462046,14,endemic,benthic,-38.84723154,139.9785909,16.20349029,16.2,temperate,1.238549016,201,S,cool
Corallina officinalis,Corallinaceae,Red algae,Macroalgae,primary producer,,0.016907229,538,0.269230769,,,1.185430967,19,2.944438979,6,1.791759469,2,n,11.1492811,14,non-endemic,benthic,-39.14350524,144.7502793,16.12633344,16.2,temperate,1.229245606,229,S,cool
Dascyllus trimaculatus,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,0.034744933,538,-0.098901099,,,1.301452832,55,4.007333185,11,2.397895273,2,n,39.9480608,25,non-endemic,demersal,-19.5784905,140.4155492,26.0109608,26,tropical,0.525372551,241,IWP,tropical
Scorpis georgiana,Scorpididae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.019234446,533,-0.554945055,*,down,0.876213659,35,3.555348061,46,3.828641396,4,n,2.409158916,13,endemic,demersal,-32.64106491,120.3041807,18.82830778,18.8,temperate,1.170615378,112,SW,warm
Sargassum verruculosum,Sargassaceae,Brown algae,Macroalgae,primary producer,,0.006364157,531,-0.005494505,,,1.011757998,16,2.772588722,100,4.605170186,5,n,12.35900246,14,non-endemic,benthic,-39.95307985,145.5706532,15.68181827,15.6,temperate,1.090863639,133,S,cool
Dascyllus aruanus,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,-0.012773124,522,-0.703296703,**,down,0.87698928,20,2.995732274,10,2.302585093,2,n,68.399262,22,non-endemic,demersal,-18.13329184,136.8766439,26.19202596,26.2,tropical,0.57853247,212,IWP,tropical
Pseudocheilinus hexataenia,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.005953251,522,0.324175824,,,1.036097202,35,3.555348061,10,2.302585093,2,n,5.001646833,22,non-endemic,demersal,-17.83129941,141.3300744,26.38760642,26.4,tropical,0.345744683,287,IWP,tropical
Girella tricuspidata,Kyphosidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.043958506,521,-0.43956044,,,0.881688401,20,2.995732274,71,4.262679877,4,y,11.19809562,13,endemic,demersal,-35.68596823,149.5887915,17.58737227,17.6,temperate,1.114116266,164,SE,warm
Chrysophrys auratus,Sparidae,Actinopterygii,Vertebrate,Higher carnivore,Piscivore,-0.026087785,518,-0.318681319,,,0.756431865,100,4.605170186,130,4.86753445,5,y,3.318881498,9,non-endemic,demersal,-34.16520667,146.3851671,18.95629802,19,temperate,1.417148924,177,SW,warm
Parma occidentalis,Pomacentridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.006949335,517,-0.021978022,,,0.956267937,10,2.302585093,30,3.401197382,3,n,5.238444558,6,endemic,demersal,-31.3401339,115.2045284,20.47473348,20.4,temperate,1.05593334,82,SW,warm
Strigopagurus strigimanus,Diogenidae,Malacostraca,Invertebrate,omnivore,Herbivore,-0.09652493,511,-0.708791209,**,down,0.365364145,220,5.393627546,13,2.564949357,3,n,6.392092121,14,endemic,benthic,-41.00531884,146.693949,15.72813645,15.8,temperate,1.136636363,155,S,cool
Kyphosus cornelii,Kyphosidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,0.049262035,510,0.725274725,**,up,1.715731038,20,2.995732274,70,4.248495242,4,n,33.58670551,6,endemic,demersal,-31.22262382,115.2127534,20.54492869,20.6,temperate,1.09235715,76,SW,warm
Gymnothorax prasinus,Muraenidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.042815159,507,-0.032967033,,,0.721425805,20,2.995732274,97,4.574710979,5,n,4.661289032,13,non-endemic,benthic,-34.17781797,148.4534069,19.17516239,19.2,temperate,1.217810798,192,SE,warm
Helcogramma decurrens,Tripterygiidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.024980656,506,0.192307692,,,1.151074338,15,2.708050201,7,1.945910149,2,n,29.09126721,6,endemic,benthic,-33.45478799,127.3648427,18.8135518,18.8,temperate,1.10510344,159,SW,warm
Scobinichthys granulatus,Monacanthidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,0.007987218,504,0.335164835,,,1.161864201,30,3.401197382,30,3.401197382,3,n,1.136814966,13,endemic,demersal,-35.45861598,144.2982256,18.21508712,18.2,temperate,1.028956519,169,SW,warm
Neopomacentrus bankieri,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.095734342,502,0.071428571,,,0.368636755,12,2.48490665,8,2.079441542,2,n,571.2485602,20,non-endemic,demersal,-18.00268272,146.8919068,26.46056087,26.4,tropical,0.732975613,103,N,tropical
Coris picta,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.081912216,497,-0.010989011,,,0.400592886,25,3.218875825,25,3.218875825,3,n,3.991693557,8,non-endemic,demersal,-32.96585065,153.5992299,20.75292887,20.8,temperate,0.99367855,153,SE,warm
Plectorhinchus flavomaculatus,Haemulidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.065059029,488,-0.126373626,,,0.491645583,30,3.401197382,60,4.094344562,4,n,1.21689227,23,non-endemic,demersal,-27.5010581,128.0543268,23.15793193,23.2,tropical,0.897295456,142,N,tropical
Panulirus cygnus,Palinuridae,Malacostraca,Invertebrate,Benthic invertivore,Invertivore,-0.028997819,483,0.126373626,,,0.728335964,180,5.192956851,40,3.688879454,4,y,18.95305248,12,endemic,benthic,-31.54567071,115.1995792,20.59833349,20.6,temperate,1.08320001,85,SW,warm
Caulerpa geminata,Caulerpaceae,Green algae,Macroalgae,primary producer,,-0.054004243,482,-0.758241758,**,down,0.592064513,25,3.218875825,15,2.708050201,3,n,5.559505737,14,non-endemic,benthic,-38.01554427,136.3486253,16.26416291,16.2,temperate,1.307186042,131,S,cool
Pentaceropsis recurvirostris,Pentacerotidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.013110602,475,-0.417582418,,,0.887037969,260,5.560681631,61,4.110873864,4,y,0.432382014,11,endemic,demersal,-39.28180162,145.0201252,15.90494743,16,temperate,1.100421048,185,S,cool
Uniophora granifera,Asteriidae,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,-0.02430196,471,-0.412087912,,,0.783020901,30,3.401197382,24,3.17805383,3,n,7.320818995,13,endemic,benthic,-37.62383061,143.8601975,16.73207857,16.8,temperate,1.348156851,213,S,cool
Halichoeres nebulosus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.02032437,470,0.450549451,,,0.839013154,40,3.688879454,12,2.48490665,2,n,18.90798116,27,non-endemic,demersal,-26.52600443,142.2792717,24.4432904,24.4,tropical,0.774822576,185,N,tropical
Cheilinus undulatus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.067072311,467,-0.692307692,**,down,0.535676003,100,4.605170186,229,5.433722004,5,n,0.476376415,14,non-endemic,demersal,-17.4972297,143.8676826,26.72029412,26.8,tropical,0.510058825,231,IWP,tropical
Cystophora retroflexa,Sargassaceae,Brown algae,Macroalgae,primary producer,,-0.005433212,459,-0.054945055,,,0.906207255,12,2.48490665,200,5.298317367,5,n,26.68651187,9,non-endemic,benthic,-39.95582984,145.9986443,15.88931924,15.8,temperate,1.25195744,125,S,cool
Dischistodus prosopotaenia,Pomacentridae,Actinopterygii,Vertebrate,Algal farmer,Herbivore,0.00121926,455,-0.137362637,,,0.983485222,12,2.48490665,17,2.833213344,3,n,8.474595042,13,non-endemic,demersal,-16.94969324,139.028787,26.86435847,26.8,tropical,0.708132079,148,N,tropical
Meuschenia trachylepis,Monacanthidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.012539701,454,0.346153846,,,0.809632339,40,3.688879454,40,3.688879454,4,n,1.56636497,9,endemic,demersal,-34.32253618,151.1039723,19.13916683,19.2,temperate,1.296624976,144,SE,warm
Ctenochaetus binotatus,Acanthuridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,0.005593871,452,0.302197802,,,1.053887948,53,3.970291914,22,3.091042453,3,n,15.98677263,25,non-endemic,demersal,-17.93954028,141.3440611,26.15548237,26.2,tropical,0.381458824,246,IWP,tropical
Labrichthys unilineatus,Labridae,Actinopterygii,Vertebrate,Corallivore,Invertivore,-0.03475782,452,-0.071428571,,,0.733883373,20,2.995732274,17.5,2.862200881,3,n,7.825505299,26,non-endemic,demersal,-18.27479004,135.8718163,26.23250659,26.2,tropical,0.497253333,226,IWP,tropical
Meuschenia galii,Monacanthidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,0.011548385,451,-0.098901099,,,1.100987964,30,3.401197382,35,3.555348061,4,n,0.819264891,9,endemic,demersal,-34.49590387,129.4024948,18.07904658,18,temperate,0.940883717,163,SW,warm
Amblypneustes ovum,Temnopleuridae,Echinoidea,Invertebrate,Scraping herbivore,Herbivore,-0.027554795,449,-0.406593407,,,0.666992938,70,4.248495242,6,1.791759469,2,n,3.899203416,14,endemic,benthic,-37.57339132,141.0799507,16.6161572,16.6,temperate,1.140371424,235,S,cool
Cephalopholis argus,Serranidae,Actinopterygii,Vertebrate,Higher carnivore,Piscivore,0.019122665,447,0.016483516,,,1.145431666,40,3.688879454,60,4.094344562,4,n,2.560572572,22,non-endemic,demersal,-18.29698469,138.255798,26.25640216,26.2,tropical,0.472510872,258,IWP,tropical
Trachinops noarlungae,Plesiopidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.025839738,446,-0.565934066,*,down,1.306605356,30,3.401197382,15,2.708050201,3,n,443.5488842,6,endemic,demersal,-34.19898385,130.6239797,18.59746672,18.6,temperate,1.021466658,130,SW,warm
Pterocladia lucida,Pterocladiaceae,Red algae,Macroalgae,primary producer,,-0.010592288,445,-0.558019566,*,down,0.897013313,24,3.17805383,40,3.688879454,4,y,20.43436997,13,non-endemic,benthic,-36.01340891,133.0064872,16.8280938,16.8,temperate,0.916718755,137,S,cool
Anampses geographicus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.013956059,444,0.06043956,,,0.955309806,25,3.218875825,31,3.433987204,3,n,3.446431398,25,non-endemic,demersal,-25.61807394,132.6600828,23.85193771,23.8,tropical,0.574734378,155,IWP,tropical
Chromis iomelas,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.03249811,441,-0.164835165,,,0.724593497,35,3.555348061,8,2.079441542,2,n,101.1198543,22,non-endemic,demersal,-17.89971227,149.8796123,26.1124243,26.2,tropical,0.249863638,154,IWP,tropical
Coscinasterias muricata,Asteriidae,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,0.003177874,440,0.021978022,,,1.080960205,150,5.010635294,50,3.912023005,4,n,15.99088413,14,non-endemic,benthic,-37.11719736,142.0425024,17.2812677,17.2,temperate,1.181450703,216,S,cool
Thamnoclonium dichotomum,Halymeniaceae,Red algae,Macroalgae,primary producer,,-0.018838191,440,-0.087912088,,,0.83824642,32,3.465735903,30,3.401197382,3,n,22.289501,10,endemic,benthic,-41.7726075,146.0414289,15.02350014,15,temperate,1.086093755,96,S,cool
Eviota guttata,Gobiidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.085067927,439,0.675651562,*,up,2.13387426,15,2.708050201,2.5,0.916290732,1,n,59.45816861,20,non-endemic,benthic,-16.98939253,139.7570554,26.51994564,26.6,tropical,0.39004348,265,IWP,tropical
Melanthalia obtusata,Gracilariaceae,Red algae,Macroalgae,primary producer,,-0.022953935,436,-0.437414444,,,0.796134095,26,3.258096538,60,4.094344562,4,n,12.30758854,8,endemic,benthic,-41.05383847,146.6525407,14.8466177,14.8,temperate,0.970000011,131,S,cool
Chaetodon speculum,Chaetodontidae,Actinopterygii,Vertebrate,Corallivore,Invertivore,-0.017182484,435,-0.43956044,,,0.858295177,30,3.401197382,18,2.890371758,3,n,0.545914666,22,non-endemic,demersal,-19.5009683,143.7335079,26.00221336,26,tropical,0.554053339,218,IWP,tropical
Canthigaster valentini,Tetraodontidae,Actinopterygii,Vertebrate,Omnivore,Herbivore,-0.023634247,429,0.346153846,,,0.768387889,55,4.007333185,11,2.397895273,2,n,2.207299161,25,non-endemic,demersal,-20.95213585,147.7376009,25.55891675,25.6,tropical,0.343464288,224,IWP,tropical
Plagiotremus rhinorhynchos,Blenniidae,Actinopterygii,Vertebrate,Cleaner,Invertivore,0.008237046,429,-0.043956044,,,1.069015356,20,2.995732274,12,2.48490665,2,n,1.2883985,27,non-endemic,demersal,-23.64455129,137.0125342,24.50587845,24.6,tropical,0.766783778,233,N,tropical
Microcanthus strigatus,Scorpididae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.04645921,427,0.027472527,,,0.581790706,15,2.708050201,16,2.772588722,3,n,6.022232551,15,non-endemic,demersal,-32.7129206,146.6813352,20.66709108,20.6,temperate,1.204363622,149,SW,warm
Pseudolabrus biserialis,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.032676131,426,0.049450549,,,1.427712155,20,2.995732274,25,3.218875825,3,n,6.619180581,5,endemic,demersal,-31.82055247,115.3146573,20.09450018,20,temperate,1.050312508,81,SW,warm
Labroides bicolor,Labridae,Actinopterygii,Vertebrate,Cleaner,Invertivore,-0.001817627,423,0.208791209,,,0.988063395,40,3.688879454,15,2.708050201,3,n,2.197459236,22,non-endemic,demersal,-18.95349693,140.3467525,25.99334448,26,tropical,0.352322226,261,IWP,tropical
Paguristes frontalis,Diogenidae,Malacostraca,Invertebrate,omnivore,Herbivore,0.002780643,422,0.351648352,,,1.093741594,8,2.079441542,8,2.079441542,2,n,21.91231328,11,endemic,benthic,-35.84528399,137.7960872,17.38470271,17.4,temperate,1.234567566,163,S,cool
Acanthurus grammoptilus,Acanthuridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,0.063798085,420,0.005494505,,,1.852144948,91,4.510859507,35,3.555348061,4,n,11.01347335,20,non-endemic,demersal,-17.87685767,137.9096702,26.79401085,26.8,tropical,0.812293481,210,N,tropical
Brachaluteres jacksonianus,Monacanthidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,0.003955708,419,0.236263736,,,0.922202923,25,3.218875825,10,2.302585093,2,n,0.929069222,11,endemic,demersal,-35.33284839,147.1159078,17.64662514,17.6,temperate,1.630074987,161,SE,warm
Euptilota articulata,Callithamniaceae,Red algae,Macroalgae,primary producer,,-0.078086804,416,-0.692307692,**,down,0.477268813,22,3.091042453,35,3.555348061,4,n,4.761964545,14,endemic,benthic,-39.56261927,139.5147742,15.94033342,16,temperate,1.004794876,137,S,cool
Lethrinus nebulosus,Lethrinidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.020719447,414,-0.445054945,,,0.819686274,75,4.317488114,87,4.465908119,4,n,1.521896437,24,non-endemic,demersal,-22.99544369,143.2012521,24.66824193,24.6,tropical,0.754790324,160,N,tropical
Caulerpa trifaria,Caulerpaceae,Green algae,Macroalgae,primary producer,,-0.028392163,413,-0.351648352,,,0.779375464,31,3.433987204,25,3.218875825,3,n,15.71431894,8,endemic,benthic,-41.20441619,145.9310768,15.04548161,15,temperate,1.107333337,63,S,cool
Epinephelus fasciatus,Serranidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.021103428,413,0.071428571,,,1.234694544,160,5.075173815,40,3.688879454,4,n,1.695306346,23,non-endemic,demersal,-22.23402818,142.3582289,25.5741794,25.6,tropical,0.539935899,187,IWP,tropical
Meridiastra gunnii,Asterinidae,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,-0.099423008,411,-0.642857143,*,down,0.340611903,15,2.708050201,13,2.564949357,3,n,85.50652468,11,endemic,benthic,-37.61528729,141.9144255,16.23361709,16.2,temperate,1.166829786,170,S,cool
Cheilodipterus quinquelineatus,Apogonidae,Actinopterygii,Vertebrate,Planktivore,Invertivore,0.054141911,409,0.230769231,,,1.814099071,40,3.688879454,13,2.564949357,3,n,34.14141826,25,non-endemic,demersal,-18.43269874,139.8602082,26.1261477,26.2,tropical,0.524920458,206,IWP,tropical
Centropyge vrolikii,Pomacanthidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-6.11718E-07,408,0.406593407,,,0.99753309,25,3.218875825,12,2.48490665,2,n,4.028204272,22,non-endemic,demersal,-16.25452402,144.1319608,26.46161732,26.4,tropical,0.315666667,214,IWP,tropical
Halopteris paniculata,Stypocaulaceae,Brown algae,Macroalgae,primary producer,,-0.00129585,403,0.010989011,,,1.020363735,13,2.564949357,30,3.401197382,3,n,8.456300888,9,non-endemic,benthic,-40.64314977,147.1695619,15.46033344,15.4,temperate,1.305311104,177,S,cool
Turbo kenwilliamsi,Turbinidae,Gastropoda,Invertebrate,Scraping herbivore,Herbivore,0.005860246,403,-0.164835165,,,1.241757084,40,3.688879454,8,2.079441542,2,n,14.73423485,4,endemic,benthic,-31.51231065,115.2309042,20.24400012,20.2,temperate,1.029800006,77,SW,warm
Diadema savignyi,Diadematidae,Echinoidea,Invertebrate,Scraping herbivore,Herbivore,0.07748626,398,-0.038461538,,,2.004488196,70,4.248495242,25,3.218875825,3,n,214.6637488,25,non-endemic,benthic,-27.14400375,154.5450529,23.86027913,23.8,tropical,0.382930233,128,IWP,tropical
Neoglyphidodon polyacanthus,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,-0.033849466,397,-0.093406593,,,0.734183347,30,3.401197382,12,2.48490665,2,n,40.2422012,20,non-endemic,demersal,-26.54066337,155.7011953,24.43288237,24.4,tropical,0.489794121,101,IWP,tropical
Cephaloscyllium laticeps,Scyliorhinidae,Chondrichthyes,Vertebrate,Higher carnivore,Piscivore,-0.03044028,396,0.027472527,,,0.656034569,60,4.094344562,150,5.010635294,5,n,0.356487242,6,endemic,benthic,-41.06153149,147.1871982,15.10291435,15.2,temperate,0.930342867,134,S,cool
Dictyopteris muelleri,Dictyotaceae,Brown algae,Macroalgae,primary producer,,-0.011564283,395,-0.021978022,,,0.892902336,37,3.610917913,40,3.688879454,4,n,4.202905352,13,endemic,benthic,-38.01752271,139.4783398,16.49644453,16.4,temperate,1.338733327,129,S,cool
Epinephelides armatus,Serranidae,Actinopterygii,Vertebrate,Higher carnivore,Piscivore,0.00180691,395,0.258241758,,,1.019701213,35,3.555348061,56,4.025351691,4,y,0.996679215,5,endemic,demersal,-31.65189346,115.3155482,20.09450018,20,temperate,1.050312508,78,SW,warm
Latropiscis purpurissatus,Aulopidae,Actinopterygii,Vertebrate,Higher carnivore,Piscivore,-0.019325347,396,-0.32967033,,,0.831750505,60,4.094344562,69,4.234106505,4,n,0.520288383,9,non-endemic,Benthic,-34.51132736,148.4100314,18.88120019,18.8,temperate,1.092542843,148,SE,warm
Haliotis laevigata,Haliotidae,Gastropoda,Invertebrate,Browsing herbivore,Herbivore,-0.026641989,394,-0.005494505,,,0.760597798,40,3.688879454,23,3.135494216,3,y,24.0297741,9,endemic,benthic,-37.83671471,141.9647525,16.4536842,16.4,temperate,1.035105259,174,S,cool
Gnatholepis cauerensis,Gobiidae,Actinopterygii,Vertebrate,Omnivore,Herbivore,0.117099983,392,0.456043956,,,2.914561343,50,3.912023005,9,2.197224577,2,n,44.09199301,22,non-endemic,benthic,-19.22266014,136.1331023,26.14498751,26.2,tropical,0.422337504,212,IWP,tropical
Cheilinus chlorourus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.017292079,387,0.340659341,,,1.177698768,30,3.401197382,45,3.80666249,4,n,2.008012061,23,non-endemic,demersal,-18.43708299,138.4556205,26.31591859,26.4,tropical,0.51952326,201,IWP,tropical
Chironemus marmoratus,Chironemidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.041828159,387,0.214285714,,,1.527554068,20,2.995732274,40,3.688879454,4,n,3.74814613,12,non-endemic,demersal,-35.32438544,150.4525581,18.25740546,18.2,temperate,1.317459444,160,SE,warm
Centropyge tibicen,Pomacanthidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.002817982,385,0.697802198,**,up,0.965216713,55,4.007333185,19,2.944438979,3,n,2.665155024,25,non-endemic,demersal,-25.56061707,146.3267563,24.38375,24.4,tropical,0.425,150,IWP,tropical
Centropyge bispinosa,Pomacanthidae,Actinopterygii,Vertebrate,Omnivore,Herbivore,0.003750708,381,-0.093406593,,,1.028995302,45,3.80666249,10,2.302585093,2,n,7.047693064,23,non-endemic,demersal,-18.34606828,149.2327156,25.91638904,26,tropical,0.295694447,174,IWP,tropical
Stegastes obreptus,Pomacentridae,Actinopterygii,Vertebrate,Algal farmer,Herbivore,-0.002191867,380,0.230769231,,,0.997778517,10,2.302585093,12,2.48490665,2,n,11.21538473,22,non-endemic,demersal,-25.80304373,116.8487014,24.48667846,24.4,tropical,1.157250008,110,N,tropical
Acanthurus pyroferus,Acanthuridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.013008347,379,-0.648351648,*,down,0.864706401,60,4.094344562,25,3.218875825,3,n,2.356013351,23,non-endemic,demersal,-17.25569498,145.4587311,26.35650623,26.4,tropical,0.380506175,201,IWP,tropical
Cirrhilabrus punctatus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.001313804,379,0.203296703,,,0.963519484,32,3.465735903,13,2.564949357,3,n,48.73519564,25,non-endemic,demersal,-20.40571299,147.6689673,25.26441977,25.2,tropical,0.405395064,194,IWP,tropical
Sufflamen chrysopterum,Balistidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.008788167,379,0.230769231,,,0.873484245,30,3.401197382,30,3.401197382,3,n,2.93548781,25,non-endemic,demersal,-21.51400113,146.3509044,25.55342867,25.6,tropical,0.385142859,194,IWP,tropical
Bodianus axillaris,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.016316245,375,-0.021978022,,,0.824463313,100,4.605170186,20,2.995732274,3,n,1.530379693,22,non-endemic,demersal,-18.14130231,139.5948201,26.17317023,26.2,tropical,0.384414895,225,IWP,tropical
Hemineura frondosa,Delesseriaceae,Red algae,Macroalgae,primary producer,,-0.100127768,373,0.208791209,,,0.375207418,26,3.258096538,60,4.094344562,4,n,3.509257716,14,endemic,benthic,-41.34330202,144.7143208,15.81284623,15.8,temperate,1.076717953,114,S,cool
Synodus variegatus,Synodontidae,Actinopterygii,Vertebrate,Higher carnivore,Piscivore,-0.020933715,372,0.10989011,,,0.81192097,121,4.795790546,40,3.688879454,4,n,0.913954727,26,non-endemic,benthic,-22.35329085,144.1880881,25.15386278,25.2,tropical,0.546823527,236,IWP,tropical
Chelmonops truncatus,Chaetodontidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.130361046,371,-0.478021978,,,0.248007618,70,4.248495242,22,3.091042453,3,n,1.996083717,23,endemic,demersal,-34.00655,150.9884475,21.06400022,21,temperate,0.883454542,59,SE,warm
Chromis vanderbilti,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,0.055888626,372,0.604395604,*,up,1.805672687,20,2.995732274,4.5,1.504077397,2,n,41.99257687,22,non-endemic,demersal,-20.99476105,151.9337984,25.48676281,25.4,tropical,0.264898307,124,IWP,tropical
Scutus antipodes,Fissurellidae,Gastropoda,Invertebrate,Scraping herbivore,Herbivore,-0.033854582,370,-0.681318681,*,down,0.72320892,20,2.995732274,10,2.302585093,2,n,6.17794516,13,non-endemic,benthic,-36.43179734,139.3045372,17.27714523,17.2,temperate,1.208516125,177,S,cool
Macropharyngodon meleagris,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.008311096,368,0.43956044,,,0.903687964,30,3.401197382,15,2.708050201,3,n,2.281123398,25,non-endemic,demersal,-21.35584581,148.7868131,25.56796437,25.6,tropical,0.329464287,186,IWP,tropical
Siphamia cephalotes,Apogonidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.007281627,368,0.28021978,,,1.021817217,30,3.401197382,6,1.791759469,2,n,27.32357306,13,endemic,demersal,-35.7194963,140.2939742,17.80433939,17.8,temperate,1.365035704,189,SW,warm
